phase,page_url,image_url,alt_text,alt_present,decorative,width,height,loading,format,local_exists,file_bytes,issues
baseline,https://typescript.robertdevore.com/lessons/setup/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/shipping/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/workspaces/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/testing/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/objects-arrays-tuples/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/architecture/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/runtime-safety/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/structural-typing/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/node-application/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/exhaustiveness/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/functions/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/errors-and-null/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/narrowing/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/advanced-design/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/performance/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/modules/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/keyof-typeof-indexed-access/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/static-analysis/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/conditional-types/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/any-unknown-never-void/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/reference/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/404/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
after,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
after,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
after,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
after,https://typescript.robertdevore.com/tracks/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
after,https://typescript.robertdevore.com/about/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
after,https://typescript.robertdevore.com/builds/package-consumer/,https://typescript.robertdevore.com/assets/og/package-consumer.png,Build 4: package & independent consumer — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,346611,
after,https://typescript.robertdevore.com/builds/capstone/,https://typescript.robertdevore.com/assets/og/capstone.png,Capstone: typed job execution platform — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,346487,
after,https://typescript.robertdevore.com/builds/data-utility/,https://typescript.robertdevore.com/assets/og/data-utility.png,Build 1: command-line data utility — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,343148,
after,https://typescript.robertdevore.com/builds/library-cli/,https://typescript.robertdevore.com/assets/og/library-cli.png,Build 2: reusable library & CLI — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,345276,
after,https://typescript.robertdevore.com/builds/application/,https://typescript.robertdevore.com/assets/og/application.png,Build 3: validated HTTP application — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,347116,
after,https://typescript.robertdevore.com/search/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
after,https://typescript.robertdevore.com/lessons/generics/,https://typescript.robertdevore.com/assets/og/generics.png,Generics & type relationships — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,345008,
after,https://typescript.robertdevore.com/lessons/publishing/,https://typescript.robertdevore.com/assets/og/publishing.png,Publishing typed packages — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,344229,
after,https://typescript.robertdevore.com/lessons/mapped-types/,https://typescript.robertdevore.com/assets/og/mapped-types.png,Mapped types — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,343325,
after,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,https://typescript.robertdevore.com/assets/og/interfaces-and-aliases.png,Interfaces & type aliases — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,343952,
after,https://typescript.robertdevore.com/lessons/http-clients/,https://typescript.robertdevore.com/assets/og/http-clients.png,HTTP clients & external APIs — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,345134,
after,https://typescript.robertdevore.com/lessons/javascript-migration/,https://typescript.robertdevore.com/assets/og/javascript-migration.png,Migrating JavaScript safely — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,348394,
after,https://typescript.robertdevore.com/lessons/variance/,https://typescript.robertdevore.com/assets/og/variance.png,Variance & function compatibility — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,345265,
after,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,https://typescript.robertdevore.com/assets/og/assertions-const-satisfies.png,"Assertions, as const & satisfies — TypeScript Course",True,False,1200,630,not in page viewport,.png,True,345093,
after,https://typescript.robertdevore.com/lessons/declaration-files/,https://typescript.robertdevore.com/assets/og/declaration-files.png,Declaration files — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,342548,
after,https://typescript.robertdevore.com/lessons/compiler-tooling/,https://typescript.robertdevore.com/assets/og/compiler-tooling.png,"Compiler, language service & LSP — TypeScript Course",True,False,1200,630,not in page viewport,.png,True,346233,
after,https://typescript.robertdevore.com/lessons/runtime-validation/,https://typescript.robertdevore.com/assets/og/runtime-validation.png,Runtime validation & trusted boundaries — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,344220,
